,Bot-Hole Lat,Bot-Hole Lon,geometry,SAP,savUni,savUniform
3283,55.69379,-119.99437,POINT (-119.99437 55.69379),0.3447320759296417,0.41631589340850583,0.3973596314704787
3284,55.68678000000001,-119.96496,POINT (-119.96496 55.68678000000001),0.3235223889350891,0.8085931511911221,0.45420284315873094
3285,55.69,-119.965,POINT (-119.965 55.69),0.3254697024822235,0.4386652235927345,0.8935052138402719
3286,55.6932,-119.965,POINT (-119.965 55.6932),0.3270617127418518,0.36494859163015825,0.935036532545166
3287,55.69376,-119.9494,POINT (-119.9494 55.69376),0.31856757402420044,0.90053743341863,0.3209527939209468
3288,55.67998000000001,-119.88996000000002,POINT (-119.88996 55.67998000000001),0.28209125995635986,0.6245415350047729,0.7447769268016985
3289,55.6838,-119.89067,POINT (-119.89067 55.6838),0.28622689843177795,0.9915034920136504,0.4489733710866015
3290,55.68661,-119.88999,POINT (-119.88999 55.68661),0.28862592577934265,0.726603687246615,0.2571038879599967
3291,55.68796,-119.88991,POINT (-119.88991 55.68796),0.2895447015762329,0.9698877108922701,0.008046841897573431
3292,55.70707,-119.87539,POINT (-119.87539 55.70707),0.3005726635456085,0.977794600294307,0.6461769106423519
3293,55.70753000000001,-119.86404,POINT (-119.86404 55.70753000000001),0.29743340611457825,0.3248646961285092,0.5685744251010729
3294,55.69666,-119.89049,POINT (-119.89049 55.69666),0.297231525182724,0.07043280740092617,0.46794818779346525
3295,55.70316,-119.89057,POINT (-119.89057 55.70316),0.3020668923854828,0.4089869171912711,0.5858730226097396
3296,55.69435,-119.93411,POINT (-119.93411 55.69435),0.3112596273422241,0.487882631070532,0.3510068881749002
3297,55.70573,-119.93771,POINT (-119.93771 55.70573),0.3206898868083954,0.8768627518534462,0.5781215509281326
3298,55.70841,-119.93605,POINT (-119.93605 55.70841),0.3212546408176422,0.8026561533635067,0.8617405537202962
3299,55.70739,-119.95906,POINT (-119.95906 55.70739),0.33152294158935547,0.36426566337747424,0.8642989114225639
3300,55.70359000000001,-119.99098,POINT (-119.99098 55.70359000000001),0.3472291827201843,0.8768622227834894,0.573259162019598
3301,55.7084,-119.9862,POINT (-119.9862 55.7084),0.34636256098747253,0.5600691763761717,0.8798137192395021
3302,55.69446,-120.00394,POINT (-120.00394 55.69446),0.3514505624771118,0.9852565756661672,0.7960118038979555
3303,55.69931,-119.99861,POINT (-119.99861 55.69931),0.3505920469760895,0.7188191824780418,0.16539986074878144
3304,55.71166,-119.98604,POINT (-119.98604 55.71166),0.3483448326587677,0.8299509493835,0.7150628759133724
3305,55.71476,-119.98611,POINT (-119.98611 55.71476),0.34983158111572266,0.6020060939475751,0.7165300220430856
3306,55.71797,-119.98619,POINT (-119.98619 55.71797),0.3513182997703552,0.8691516431573362,0.40542489068350407
3307,55.71004,-119.95758,POINT (-119.95758 55.71004),0.3327872157096863,0.38170983592198215,0.41355355207326083
3308,55.71264,-119.94016,POINT (-119.94016 55.71264),0.3256562650203705,0.5170697490935422,0.08463259459763506
3309,55.71936,-119.91595,POINT (-119.91595 55.71936),0.3210863471031189,0.31228193147001015,0.5546226858082413
