,wellLon,wellLat,eqLon,eqLat,eqNr,mag,M0Synt,syntLoc,geometry
7395,-120.74342,55.94461999999999,-120.75212293173232,55.952018392851656,3,2.8267820033184963,17384932347022.363,"55 57m 7.26621s N, 120 45m 7.64255s W",POINT (640355.4056714376 6203021.138201359)
7410,-120.65776,55.89956,-120.65390484254746,55.89563385743891,15,2.2596685834374504,2451900686053.665,"55 53m 44.2819s N, 120 39m 14.0574s W",POINT (646699.6922569134 6196951.504554811)
7417,-120.61658,55.91107,-120.621332123716,55.91397272091788,15,3.681026829808443,332307577689245.9,"55 54m 50.3018s N, 120 37m 16.7956s W",POINT (648665.8229537704 6199061.445562469)
7419,-120.97362,56.08093,-120.9886568408124,56.07301631433099,2,2.2805598443610338,2635358887681.8257,"56 4m 22.8587s N, 120 59m 19.1646s W",POINT (625196.7858521518 6216029.823899704)
7439,-120.61144,55.91114,-120.61551670077596,55.90535784974998,20,2.2536907755804303,2401796255303.581,"55 54m 19.2883s N, 120 36m 55.8601s W",POINT (649062.2605702402 6198115.473044295)
7441,-122.58657,57.12189,-122.63503799630256,57.13019819923441,3,2.312064133132719,2938300436914.5977,"57 7m 48.7135s N, 122 38m 6.13679s W",POINT (522093.1233789544 6331938.2276287805)
7480,-120.22178,55.58058000000001,-120.22380254750156,55.5801777581868,9,2.5030228011521567,5682431403030.115,"55 34m 48.6399s N, 120 13m 25.6892s W",POINT (674992.8971777492 6162854.5059608985)
7548,-122.12118999999998,57.25958000000001,-122.11661823399524,57.26120228979504,8,3.7361008810814855,401930831579792.4,"57 15m 40.3282s N, 122 6m 59.8256s W",POINT (553286.1615967487 6346807.887144946)
7558,-122.06228,56.91109,-122.0622183982778,56.91110107185547,2,2.6934717835409017,10970026465187.28,"56 54m 39.9639s N, 122 3m 43.9862s W",POINT (557102.981231705 6307881.717984602)
7574,-118.45966,54.91311,-118.46344300465998,54.90716008070751,15,3.5471493700022783,209278230698843.0,"54 54m 25.7763s N, 118 27m 48.3948s W",POINT (790763.4861260065 6093887.132046281)
7590,-120.53405,55.92100000000001,-120.53163951980768,55.92437223090478,5,3.0754132759979678,41031738097447.016,"55 55m 27.74s N, 120 31m 53.9023s W",POINT (654229.0000900038 6200414.918328832)
7616,-118.37971,54.87861,-118.37735010664302,54.87934629203389,22,2.264193760924901,2490523485078.352,"54 52m 45.6467s N, 118 22m 38.4604s W",POINT (796481.9404143451 6091156.898012005)
7620,-120.61533,55.78066,-120.61505818765,55.778997498348446,6,3.797347773119856,496617088743813.25,"55 46m 44.391s N, 120 36m 54.2095s W",POINT (649575.4432132032 6184057.757851012)
7621,-122.21554,56.98276,-122.2185537671504,56.989081154495054,6,2.760492666867223,13827351413289.39,"56 59m 20.6922s N, 122 13m 6.79356s W",POINT (547484.5035660227 6316442.0348378625)
7632,-120.79115,55.9587,-120.80537549516526,55.95419719312092,9,2.6723581884219927,10198523069715.955,"55 57m 15.1099s N, 120 48m 19.3518s W",POINT (637023.2798191283 6203156.723417102)
7689,-122.06808,57.37767,-122.06968582227032,57.37809971286839,20,2.7422617862889265,12983526821021.18,"57 22m 41.159s N, 122 4m 10.869s W",POINT (555939.2025867368 6359858.007106003)
7724,-120.51874,55.69865,-120.50876482999756,55.69438246211135,1,2.8184097529656875,16889415867591.426,"55 41m 39.7769s N, 120 30m 31.5534s W",POINT (656578.7849725944 6174878.645161168)
7758,-120.55911,55.77141,-120.5407259546225,55.78233511689567,5,2.571778638188684,7205563623997.616,"55 46m 56.4064s N, 120 32m 26.6134s W",POINT (654223.0850530757 6184592.10380775)
7770,-122.11556000000002,56.35521,-122.11813300817332,56.35147374889814,4,2.765826124721991,14084427126629.049,"56 21m 5.3055s N, 122 7m 5.27883s W",POINT (554499.092537099 6245547.934624896)
7772,-122.36076,57.07321,-122.35953001494032,57.07302130822601,3,2.441496710077718,4594572037213.329,"57 4m 22.8767s N, 122 21m 34.3081s W",POINT (538830.6261715997 6325696.529942308)
7779,-121.07128,55.91994,-121.0281782542058,55.89910314566934,2,2.4540638662104413,4798392828280.747,"55 53m 56.7713s N, 121 1m 41.4417s W",POINT (623289.3854965501 6196607.118232847)
7826,-122.49951,57.17287,-122.53357114051536,57.17127857658461,0,2.3544133336485737,3401104691877.715,"57 10m 16.6029s N, 122 32m 0.856106s W",POINT (528204.1361324387 6336548.582047109)
7829,-119.85156,55.83612,-119.84027282968054,55.83494403383585,9,2.578685810507929,7379530223279.463,"55 50m 5.79852s N, 119 50m 24.9822s W",POINT (697867.3095715757 6192225.810844643)
7832,-122.05934,56.34262,-122.06933096984189,56.32400776477262,8,3.3115938021192424,92766399997298.88,"56 19m 26.428s N, 122 4m 9.59149s W",POINT (557556.2746766338 6242530.745693486)
7841,-120.72502,55.76648,-120.72460509330551,55.767364455646266,21,2.9208665814794337,24060235408519.246,"55 46m 2.51204s N, 120 43m 28.5783s W",POINT (642748.9137445433 6182532.332472218)
7845,-122.84673,57.43785,-122.85163504925134,57.43555890650328,2,2.337292686064669,3205819225730.729,"57 26m 8.01206s N, 122 51m 5.88618s W",POINT (508907.29532858246 6365881.7188193705)
7863,-122.11556000000002,56.35521,-122.1110027978778,56.35565227269606,3,2.268623239202212,2528918647526.938,"56 21m 20.3482s N, 122 6m 39.6101s W",POINT (554933.7161198843 6246018.667143264)
7868,-117.47037,55.89907,-117.46503314496036,55.90584909776969,10,2.83271582971881,17744907694611.223,"55 54m 21.0568s N, 117 27m 54.1193s W",POINT (845842.1721371876 6209452.024160863)
7904,-120.29565,55.97754000000001,-120.30026553241964,55.973007174669895,6,2.639269048177844,9097112642301.006,"55 58m 22.8258s N, 120 18m 0.955917s W",POINT (668470.5943507369 6206365.84898748)
7918,-121.74163,57.02603000000001,-121.78285799942788,56.99568999401108,4,2.791695322003505,15400789432518.477,"56 59m 44.484s N, 121 46m 58.2888s W",POINT (573945.080726103 6317564.860884589)
7949,-121.48423,57.03139,-121.49791405630091,57.03895711689813,1,2.8121454340116507,16527918057194.229,"57 2m 20.2456s N, 121 29m 52.4906s W",POINT (591148.9084955264 6322725.032341699)
7960,-120.69037,56.07100000000001,-120.69025899081784,56.07173987445486,15,2.323727961311128,3059087799704.5264,"56 4m 18.2635s N, 120 41m 24.9324s W",POINT (643771.8756468263 6216469.119469357)
7973,-122.38739,57.067780000000006,-122.38813223050894,57.06735539867432,13,2.3718957072027087,3612797009892.415,"57 4m 2.47944s N, 122 23m 17.276s W",POINT (537102.2025101954 6325049.927304902)
7976,-120.94478,56.09316,-120.9444147260161,56.09286419486432,6,3.301867964466174,89701962924309.56,"56 5m 34.3111s N, 120 56m 39.893s W",POINT (627884.4316634625 6218319.451221199)
7980,-122.33392,57.04778,-122.34023318038376,57.04796553407327,21,3.111898479657697,46542286957309.72,"57 2m 52.6759s N, 122 20m 24.8394s W",POINT (540027.494720297 6322918.629235853)
8056,-120.68488,55.94023000000001,-120.69235574952688,55.94195354199824,2,2.407458013789425,4084952591998.6665,"55 56m 31.0328s N, 120 41m 32.4807s W",POINT (644123.8604234615 6202024.259362564)
8058,-120.59297,55.95595,-120.58972683583086,55.95805258521786,6,2.6707467596923213,10141919043730.717,"55 57m 28.9893s N, 120 35m 23.0166s W",POINT (650469.699850235 6204034.141436638)
8073,-119.74273,55.80618000000001,-119.74838871780943,55.810943417958114,1,2.7831435476495523,14952552001923.736,"55 48m 39.3963s N, 119 44m 54.1994s W",POINT (703744.4646668322 6189822.818438586)
8090,-120.53395,55.91661,-120.52808992211678,55.930070369120834,11,2.930331964879426,24859818142761.49,"55 55m 48.2533s N, 120 31m 41.1237s W",POINT (654428.0665888956 6201056.801589628)
8100,-119.94194,55.67933000000001,-119.95236933571913,55.67199982453339,5,3.997330428067812,990822002507252.4,"55 40m 19.1994s N, 119 57m 8.52961s W",POINT (691647.8321095151 6173785.872639636)
8107,-120.67761000000002,56.0127,-120.69153481965282,56.01467579453284,0,2.59996752722839,7942391502643.59,"56 0m 52.8329s N, 120 41m 29.5254s W",POINT (643904.7763479195 6210117.2775595235)
8113,-121.20783,56.01416,-121.21203438356876,56.01634857072265,34,2.89244571188738,21810647952750.82,"56 0m 58.8549s N, 121 12m 43.3238s W",POINT (611457.652559701 6209341.361588118)
8162,-117.10193999999998,55.55576,-117.12167981235967,55.55631435807011,0,2.906272625632472,22877519723787.05,"55 33m 22.7317s N, 117 7m 18.0473s W",POINT (870572.0846098736 6172399.908956123)
8251,-122.1018,56.83185,-122.12768487886405,56.82611929025982,19,2.257360533155472,2432432512866.032,"56 49m 34.0294s N, 122 7m 39.6656s W",POINT (553237.3629800121 6298369.824197654)
8296,-121.72754,56.63284,-121.72972278328334,56.6295543886533,19,2.2825800342139604,2653811375320.514,"56 37m 46.3958s N, 121 43m 47.002s W",POINT (577929.2254280025 6276872.364745754)
8312,-120.32286,55.94977,-120.32478593379862,55.94974505568672,1,2.5995245368728277,7930248661613.984,"55 56m 59.0822s N, 120 19m 29.2294s W",POINT (667041.0773483077 6203718.397859166)
8330,-120.81508,55.95936,-120.81309992450824,55.95992132566715,4,2.3685846817889598,3571716850480.2314,"55 57m 35.7168s N, 120 48m 47.1597s W",POINT (636520.9326178478 6203778.342019112)
8346,-120.6372,56.02683,-120.63959308515057,56.01892078160229,13,2.3300612527454057,3126740788835.9565,"56 1m 8.11481s N, 120 38m 22.5351s W",POINT (647125.8902045154 6210699.0116634695)
8386,-122.07316000000002,57.44665,-122.04751405945484,57.43634044036607,7,2.706327423315875,11468091119687.611,"57 26m 10.8256s N, 122 2m 51.0506s W",POINT (557181.5142754159 6366359.59096862)
8426,-122.33392,57.04778,-122.32861362115146,57.05051564347097,35,2.340276034224477,3239023144918.932,"57 3m 1.85632s N, 122 19m 43.009s W",POINT (540729.6391939798 6323209.361630645)
8448,-122.03246,56.57419,-122.03190724777872,56.574187197993005,33,2.7227529342929144,12137504430351.031,"56 34m 27.0739s N, 122 1m 54.8661s W",POINT (559478.4933183797 6270407.445367706)
8469,-120.7174,55.91338,-120.7095483547564,55.91442687372099,0,2.2666717123841686,2511930207266.4644,"55 54m 51.9367s N, 120 42m 34.3741s W",POINT (643151.7814068763 6198925.854909114)
8484,-121.85406,56.24189000000001,-121.86784025400102,56.23617087465618,25,2.756576331402532,13641574435810.652,"56 14m 10.2151s N, 121 52m 4.22491s W",POINT (570177.3839970345 6232941.708554399)
8506,-121.99788,56.22609,-121.99093445356792,56.23181835586198,8,2.6514930236210508,9489417084663.494,"56 13m 54.5461s N, 121 59m 27.364s W",POINT (562554.7521572905 6232338.7604472665)
8520,-119.85156,55.83612,-119.84837690621453,55.83028812261594,25,2.595632741223264,7824365182199.608,"55 49m 49.0372s N, 119 50m 54.1569s W",POINT (697383.6023546034 6191684.782032886)
8542,-120.59082,55.957330000000006,-120.59104083752553,55.95700456219589,3,4.238056975145955,2275545180289267.5,"55 57m 25.2164s N, 120 35m 27.747s W",POINT (650391.7514664017 6203914.678848515)
8561,-122.70453,57.37299,-122.71335246428072,57.370678082051576,1,2.4011918129238925,3997493068655.797,"57 22m 14.4411s N, 122 42m 48.0689s W",POINT (517239.7027423512 6358685.620662923)
8599,-122.4077,56.44009000000001,-122.42930869857872,56.42637808627257,1,2.349492549557823,3343788688830.1064,"56 25m 34.9611s N, 122 25m 45.5113s W",POINT (535199.6887309006 6253682.0212082025)
8606,-119.84257,55.8243,-119.84781473221295,55.83853817120232,2,2.970831255745128,28592154612231.543,"55 50m 18.7374s N, 119 50m 52.133s W",POINT (697376.9819768111 6192604.055601902)
8620,-122.26247,56.49395,-122.26657782474942,56.49370002239404,5,2.90837081572718,23043912823243.547,"56 29m 37.3201s N, 122 15m 59.6802s W",POINT (545156.632527624 6261270.26641968)
8622,-120.45134,56.16285,-120.46540691483769,56.16386755061562,6,3.3620883359162854,110441552727837.84,"56 9m 49.9232s N, 120 27m 55.4649s W",POINT (657388.0293586287 6227210.201987802)
8623,-120.67881,56.01497,-120.67155517245509,56.01415495537263,12,2.4637236856400957,4961186216692.613,"56 0m 50.9578s N, 120 40m 17.5986s W",POINT (645151.9626208436 6210101.130939302)
8649,-121.96688,57.39982,-121.9737726465563,57.40105464031047,7,2.448898555237557,4713546901824.498,"57 24m 3.79671s N, 121 58m 25.5815s W",POINT (561667.5992910786 6362496.170578336)
8651,-121.10888,55.99272,-121.1175325543064,55.9950080559219,1,3.151257031938179,53319436123060.17,"55 59m 42.029s N, 121 7m 3.1172s W",POINT (617412.6134101744 6207123.194548064)
8662,-120.59449,55.94191,-120.59680679374227,55.93365795175171,3,2.3328657609128984,3157174899466.6924,"55 56m 1.16863s N, 120 35m 48.5045s W",POINT (650122.1794022721 6201304.608692588)
8679,-120.53522,55.92246,-120.50491883501348,55.96355781243299,2,2.7982677903516207,15754393384501.309,"55 57m 48.8081s N, 120 30m 17.7078s W",POINT (655740.7907211055 6204834.509674976)
8703,-122.06743,57.37104,-122.0607261243196,57.37215577203461,7,2.309110446917585,2908477245070.0645,"57 22m 19.7608s N, 122 3m 38.614s W",POINT (556487.0596399996 6359203.75619246)
8706,-120.56083,55.81954,-120.56624380536512,55.82797288815719,30,2.497346107371905,5572103324906.444,"55 49m 40.7024s N, 120 33m 58.4777s W",POINT (652444.6939039917 6189613.091331852)
8710,-122.24379,56.87366,-122.29644977551368,56.89028046805052,0,2.493476406900039,5498125013105.544,"56 53m 25.0097s N, 122 17m 47.2192s W",POINT (542864.4463972417 6305393.006522198)
8712,-120.69838,55.91123,-120.69612427553292,55.91173386126752,6,2.7021970697160014,11305651773272.188,"55 54m 42.2419s N, 120 41m 46.0474s W",POINT (644000.5938881364 6198654.092587621)
8727,-120.6372,56.02683,-120.64595414420708,56.01884393315756,14,2.7587041537636243,13742198917773.14,"56 1m 7.83816s N, 120 38m 45.4349s W",POINT (646729.7760035743 6210676.930159753)
8731,-120.61144,55.91114,-120.60646807712452,55.91604717232247,7,2.8819699889414565,21035603849149.957,"55 54m 57.7698s N, 120 36m 23.2851s W",POINT (649586.629814548 6199324.3015673105)
